id,created_at,source,clean_text,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,screen_count,followers_count,friends_count,hashtags,user_mentions,place,place_coord_boundaries
20,Thu Jun 17 06:27:31 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Buy airtime across networks Mpesa even Fuliza via paybill Account number phone number Kabando Locatelli Ramos Arteta tony,0,0,en,0,0,leminmbunga,8869,4287,3349,,"iamsoniah, F_M_Networks",,kenya🇰🇪
21,Thu Jun 17 06:27:33 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Austria `` right '' grid tariffs regulatory regimes support like one Campus Vienna,0.285714286,0.535714286,en,0,0,VIRALaboutGREEN,6874,1991,4934,microgrids,"em_baumann, Siemens",,
22,Thu Jun 17 06:27:35 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Innovations thats makes free achieve,0.4,0.8,en,0,0,chidambara09,1521136,9297,13,"Npontu, service, consistent, AI, bigdata, ussd, kedebah, softwaredevelopment",Npontu,,Mysore  and  BERLIN
23,Thu Jun 17 06:27:36 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",LOLSwedish firm Lundin selling `` carbon neutral '' oil '' The oil counted carbon neutral exploration development amp so-called scope amp emissions butemissions caused oil 's final use scope emissions included '',-0.1,0.7,en,0,0,GjPassau,837,199,180,,DrSimEvans,,
24,Thu Jun 17 06:27:40 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",la MANIA delle auto elettriche per le quali vengono investiti centinaia di miliardi perch costa di tutta l'infrastruttura .. non serve un tubo per le emissioni di Co2se tutte le auto del mondo diventassero elettriche il CO2 emesso cala dell 1 non c solo la `` pandemia '',0,0,it,0,0,ALisimberti,303348,4617,4991,,gzibordi,,
25,Thu Jun 17 06:27:41 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",UNACCEPTABLE decent society children live fear'Talia said `` I often think I 'm cycling school I 'm get run '' promised complementary transport measures go NDR road,0.151515152,0.583333333,en,0,0,doctorpallavi,3135,318,169,,Andrew9Boswell,,
26,Thu Jun 17 06:27:43 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",+=Cheapest EverSome Utilities Want U Finance Failing Deadly Kindly RT //,0.6,0.9,en,0,0,slsandpet,546842,11780,3747,,"arikring, Hazloe3, ProfStrachan, ECOWARRIORSS, ChristineMilne, ristori20, mzjacobson, charluv2011, BSuhic, NJdoc, ddelich, elder_jodi",,Aust
27,Thu Jun 17 06:27:45 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",I n't want meat Australia Besides ghastly animal welfare standards low quality meat compared EU UK meat 's inescapable fact reducing carbon footprint But farmers protesting,0,0.3,en,0,0,mickmiller0,66857,226,212,,artemis0801,,"Yate, Nr Bristol"
28,Thu Jun 17 06:27:46 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Frankly asalu rayalaseema lo pk caste vallu ekkada unaru bro akkada collections baga vastai pk ki asalu caste tho sambandham ledu,0,0,in,0,0,SairaamKalyan,108711,2101,1561,,CNAmarnath,,"Hyderabad, India"
29,Thu Jun 17 06:27:48 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Line coal fired power plants worth carbon MNs entire state economy every year operates serious climate must,-0.011111111,0.463888889,en,0,0,TheRaiLurker,59689,223,158,,"ResistLine3, POTUS",,A nightmare/USA. Same thing
30,Thu Jun 17 06:27:49 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",That Inbuilt Attitude Offscreen lo Kuda Mass Hero Material Anna Nuv Caption one With Something Elevating Mine Will `` BALUPU C/O GELUPU '',0,0,en,0,0,FanboyBharath1,76264,379,689,,RamCharanERA,,Hyderabad
31,Thu Jun 17 06:27:52 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",The worlds largest tropical peatlands could destroyed plans go ahead drill oil Congo basin according investigation suggests draining area would release amount carbon dioxide Japan emits annually,0,0,en,0,0,mathatchwell,8392,580,1003,,PaulEDawson,,"Faversham,Kent"
32,Thu Jun 17 06:27:56 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",become house worker rather husband marriage Trending Music Bit Ft annaEdits ante mass emotionals powerful bgms kadu ila kuda cheyachu ani chupistuna,0.3,1,en,0,0,NTRdhoniFOREVER,40731,1767,1819,ThursdayTippaluTanthalu,PUsif4141,,India
33,Thu Jun 17 06:27:58 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",/Pro Tools Carbon,0,0,ja,0,0,TACSYSTEM,1645,770,89,,Avid_JPN,,東京都品川区上大崎3-5-1
34,Thu Jun 17 06:27:59 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",That Inbuilt Attitude Offscreen lo Kuda Mass Hero Material Anna Nuv Caption one With Something Elevating Mine Will `` BALUPU C/O GELUPU '',0,0,en,0,0,ForeverRcFan,10457,194,241,,RamCharanERA,,India
35,Thu Jun 17 06:28:01 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Kicking FIS Fintech Founder Feature series 's Rishi Khosla Khosla learn OakNorth empowers `` missing middle '' blog,-0.1,0.025,en,0,0,pavey89,4062,405,1551,,"VentureCenter, OakNorth",,"Berkhamsted, England"
36,Thu Jun 17 06:28:05 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",currently could pass along dealflow CPG social healthtech apparel fintech surely theres way I could monetize meantime hmu want intros founders I know raising getting ready raise id back second,0.122222222,0.309259259,en,0,0,kanunchukwudi,3688,508,1902,,hotgirlintech,,
37,Thu Jun 17 06:28:10 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Ippudu Celebs tho kuda NTR best actor ani ruddinchesaru antavaBoss aina NTR aina chesindi commercials e NTR overrated ante Boss kuda overated e simple,0.5,0.328571429,tl,0,0,kaNTRiTaLaSiLa,104892,2043,298,,tamarind147,,turn around
38,Thu Jun 17 06:28:13 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Bro tweet delete ayindi nuvu kuda delete cheyi,0,0,ht,0,0,YashCultSumith,27675,765,746,,"sjshetti_752, YashCultSumith, RSYHCF, TheNameIsYash, Mani_Rocky__, YashCultSuhas, YashTeluguFc, TeamOnlyYash",,India
39,Thu Jun 17 06:28:15 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Ennada ethu podura tweet ku nee oru likes kuda vara mattanguthu ... Papoom Endha Tweet Ku Evlo Likes Varudhunu ...,0,0,et,0,0,NGKfairose,24510,166,357,,OnlineSuriyaFT,,
40,Thu Jun 17 06:28:17 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Ennada ethu podura tweet ku nee oru likes kuda vara mattanguthu ... Papoom Endha Tweet Ku Evlo Likes Varudhunu ...,0,0,et,0,0,UmaSankar_offl,51156,841,334,,OnlineSuriyaFT,,"Jayankondam, India"
41,Thu Jun 17 06:28:18 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Ennada ethu podura tweet ku nee oru likes kuda vara mattanguthu ... Papoom Endha Tweet Ku Evlo Likes Varudhunu ...,0,0,et,0,0,SuriyaOnline01,185,4,8,,OnlineSuriyaFT,,
42,Thu Jun 17 06:28:19 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Corona Valla Me Bots Ki Em kadu EMo Kani People Ki Effect Avvudi And Pre-Rlz Biz Dani meeda Depend Avvutundi And VakeelSaab Off-Beat Drama Remake Movie Ayyina Crs Ap/TgTop3 Ap/Tg Pre-Rlz Biz Lo mave Vunnayi Non-pan India Inka Discos Enti,0,0,et,0,0,imJV45,5476,134,120,,JarvisTweetsTm2,,
43,Thu Jun 17 06:28:22 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",`` I ask pays `` Andrew Neil challenges Rishi Sunak cost Government 's net zero carbon emissions target includes replacing household gas boilers,0,0,en,0,0,larusticapizza,19475,287,355,,GBNEWS,,"Surrey, UK"
44,Thu Jun 17 06:28:23 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Pro Tools Carbon,0,0,ja,0,0,TACSYSTEM,1647,770,89,,Avid_JPN,,東京都品川区上大崎3-5-1
45,Thu Jun 17 06:28:24 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Sorry sayBunny looks lo gani dressing style gani screen ki equal ga maintain chestaduu nd also bunny screen pics trend ayinantha nak telisi south lo evarivi trend ayi undavv face lo smile looks gani one match Any dayy AA gt gt gt gt gt gt gt gtther,-0.066666667,0.45,en,0,0,lalatendu_lenka,41981,271,1313,,Allu___sujan,,"Orissa, India"
46,Thu Jun 17 06:28:25 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Ennada ethu podura tweet ku nee oru likes kuda vara mattanguthu ... Papoom Endha Tweet Ku Evlo Likes Varudhunu ...,0,0,et,0,0,aadhyz,24225,89,50,,OnlineSuriyaFT,,
47,Thu Jun 17 06:28:26 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Buy airtime across networks Mpesa even Fuliza via paybill Account number phone number Kabando Locatelli Ramos Arteta tony,0,0,en,0,0,Ti_fannie,2324,4626,296,,"iamsoniah, F_M_Networks",,"Nairobi, Kenya"
48,Thu Jun 17 06:28:31 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",If every passenger car world switched electric vehicle tomorrow global CO2 emissions would decline .That 's EVs unappreciated carbon footprint,0,0,en,0,0,angryireland,7958,503,1192,,Mangan150,,Ireland
49,Thu Jun 17 06:28:32 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Pro Tools Carbon,0,0,ja,0,0,TACSYSTEM,1648,770,89,,Avid_JPN,,東京都品川区上大崎3-5-1
50,Thu Jun 17 06:28:39 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",TN la crc opening kuda vakku illa edhula enga fan base pathi pesuran punda mavane ungala patha siripu punda thanda varuthu baadu,-0.8,1,et,0,0,Ajithpuchan,28656,356,206,,"dhanush_rithik, itsvignesh_, sebyjoy25, LetsOTT, dhanushkraja",,Nagercoil 
51,Thu Jun 17 06:28:40 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Luxembourg Develops Automated Solutions Enhancing Workflows '' Such collaborations strengthen ecosystem thus fully reflect philosophy vision lies behind '',-0.2,0.6,en,0,0,raoulmulheims,1459,951,682,"Fintech, Payments","The_LHoFT, finologee",,Luxembourg
52,Thu Jun 17 06:28:41 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",`` I ask pays `` Andrew Neil challenges Rishi Sunak cost Government 's net zero carbon emissions target includes replacing household gas boilers,0,0,en,0,0,pottinger58,3517,157,203,,GBNEWS,,Wealdstone 
53,Thu Jun 17 06:28:47 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Pro Tools Carbon '' Only C '' So Cool C '',0.175,0.825,ja,0,0,TACSYSTEM,1649,770,89,,Avid_JPN,,東京都品川区上大崎3-5-1
54,Thu Jun 17 06:28:50 +0000 2021,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",`` I ask pays `` Andrew Neil challenges Rishi Sunak cost Government 's net zero carbon emissions target includes replacing household gas boilers,0,0,en,0,0,GSCOTT71212158,8028,251,1115,,GBNEWS,,
55,Thu Jun 17 06:28:51 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",I n't want meat Australia Besides ghastly animal welfare standards low quality meat compared EU UK meat 's inescapable fact reducing carbon footprint But farmers protesting,0,0.3,en,0,0,Moomin99576229,16558,5340,5292,,artemis0801,,Inland
56,Thu Jun 17 06:28:53 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ApeiroX offers commerce fintech one platform.We airdropping total supply decentralized community At least 10 per participant.To receive airdrop visit telegram bot Contract Address,-0.066666667,0.383333333,en,0,0,IamFK_4,168,3,179,,apeiroxcom,,
57,Thu Jun 17 06:28:54 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",The store back online new stuff Click link check Thank Nationwide Delivery Available,0.178787879,0.284848485,en,0,0,mmuozi,68293,1107,269,,obyanduju,,Feminist Coven
58,Thu Jun 17 06:28:56 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",`` I ask pays `` Andrew Neil challenges Rishi Sunak cost Government 's net zero carbon emissions target includes replacing household gas boilers,0,0,en,0,0,cookie_trader,13858,1235,977,,GBNEWS,,"Edinburgh, Scotland"
59,Thu Jun 17 06:28:58 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Carbons Impact Largest Desert World,0,0,en,0,0,sara_s_2020,4288,7279,5932,"TiredEarth, desert, WorldDesertificationDay, desertification, UNCCD",Tiredearth,,"Bristol, England"
60,Thu Jun 17 06:29:01 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Buy airtime across networks Mpesa even Fuliza via paybill Account number phone number Kabando Locatelli Ramos Arteta tony,0,0,en,0,0,254Kevohh,31444,8428,5722,,"iamsoniah, F_M_Networks",,Kirinyaga back left
61,Thu Jun 17 06:29:03 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",`` I ask pays `` Andrew Neil challenges Rishi Sunak cost Government 's net zero carbon emissions target includes replacing household gas boilers,0,0,en,0,0,vjwilling,11202,215,251,,GBNEWS,,
62,Thu Jun 17 06:29:04 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",First last warning .. Inkosari families joliki pothe First evartho start chesthano kuda telidhu nv aapina nen Aapanu,0.166666667,0.244444444,et,0,0,SURYABHAI10001,153300,302,62,,TWTM__,,
63,Thu Jun 17 06:29:07 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Absolutely Biracials buffer class European supremacy play carbon copy black ppl tv Biracials European learn melanated ppl always overall advantage genetically physically spiritually mentally,-0.011111111,0.255555556,en,0,0,spade_jhonnie,3931,99,1289,,"GeminiM57993949, HeadNinja007, CSamurai88",,The Playa land
64,Thu Jun 17 06:29:13 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",The Black Sea stores unusually high levels dissolved organic carbon A team presents possible explanation,-0.002222222,0.657777778,en,0,0,ICBM_uol,361,626,92,,"idw_online_en, ICBM_uol, AWI_de, marum_de",,Oldenburg/Wilhelmshaven Germany
65,Thu Jun 17 06:29:19 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Akka amp bava married Bava konchem pani padindi .. vellali .. kani mana firstnight Akka badha padakandi .. nenu mi panulaki addu ranu .. tammudu anni chuskuntadu le .. Bavaelli panulu ok first night Akka adhi kuda -- Bava ah Akka mirellandi .. sarena uff .. noru control lo pettukovali,0.333333333,0.361111111,et,0,0,Nick46137208,1794,129,272,,Incestraja1,,
66,Thu Jun 17 06:29:27 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Top mb petina mves Ntr -5Aathu Ipduu daka pre bizz mb ntr gt gt gt gt gt gt gt aathy apart frm rrrDay lu kuda Aathu kana mb ntr ke ekuva unai Craze ki mi la banisalu leru Mb ntr ki fandom iddarivi Aathy gadiki sarijodi evaru ante pawala neAA gt gt gt gtAWALA ESUKO,0.5,0.5,in,0,0,NTRabhimaanii,62016,2464,1653,,urstrulyTSK,,
67,Thu Jun 17 06:29:28 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",We year sharing volunteer opportunities consulting nonprofits personal branding organizations Thanks team members everyone believed us Also donate cause,0.1,0.25,en,0,0,solomon__c,8532,447,1224,,EminentSconsult,,Global
68,Thu Jun 17 06:29:29 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Morning office porathu munadi small hot ride en mama kuda,0,0.625,et,0,0,Lust60357013,73,4,55,,"lesbo_rani009, MayavanHari, kalai28153767, Im_madhan23, ShivuFunDevil",,
69,Thu Jun 17 06:29:31 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Nee lanti Actor ni memu chudaledu anna Nee antha manchi vyakthi ni kuda chudaledu anna Adugula manchithanam Niluvethu Nidarshanam Ninnu velethi chupinche arhatha evadiki ledu anna PC,0,0,hi,0,0,urstrulySureshM,27375,1072,961,,"KonaseemaSSMBFC, urstrulyMahesh",,Twitter  Lo🧘‍♂️🧘‍♂️🧘‍♂️
70,Thu Jun 17 06:29:34 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",I n't want meat Australia Besides ghastly animal welfare standards low quality meat compared EU UK meat 's inescapable fact reducing carbon footprint But farmers protesting,0,0.3,en,0,0,nevisondave,2817,4012,516,,artemis0801,,"London, UK"
71,Thu Jun 17 06:29:35 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Rc Box -Office Wise Ok But Fan Base Lo Ite Tier-2 Kindha Consider Cheyachhu Box -Office Fanbase AnydayTarak gt gt gt gt gt RAM charanAh Box Office Records Kuda Mana Chiru Mafia Gurinchi Telisindhe GaNen RC MB Mutual Ni Tarak Medha Abusive tweets kuda vesa,0.133333333,0.8,en,0,0,AdelaideKing018,9036,567,747,,Teja_Cult_DHFM,,Georgepool
72,Thu Jun 17 06:29:40 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Good news Need Council explain major contradiction business case Advanced presenting key 'unlock business economic growth NWQ yet also claimed relieve congestion area Which,0.2725,0.58,en,0,0,pigreen1,130010,1056,692,,StopWensumLink,,"the waveney valley, s. norfolk"
73,Thu Jun 17 06:29:47 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",UTAH GAS CHAMBERSUtah County Cities contract North Utah Valley Animal Shelter facility still kills hundreds dogs cats year cruel carbon monoxide chambers Dogs cats take long minutes die gasp air,-0.525,0.7,en,0,0,_Pehicc,535092,9108,7791,,Robert0Guiscard,,
74,Thu Jun 17 06:30:01 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",`` I ask pays `` Andrew Neil challenges Rishi Sunak cost Government 's net zero carbon emissions target includes replacing household gas boilers,0,0,en,0,0,ProtestingBrit1,7051,84,210,,GBNEWS,,on a corrupt little island 🤔
75,Thu Jun 17 06:30:06 +0000 2021,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">sustaintrends</a>",says need effectively treble amount solar UK next nine years meet future carbon budgets new report reveals Government help make happen Read today,0.184090909,0.344886364,en,0,0,SustainTrends,299379,5930,159,,"SolarEnergyUK_, TheCCC",,
